식당 ID,상호명,음식이 맛있어요 (표),2위 항목,2위 득표수 (표),2위 대비 배율 (배),득표 격차 (표),네이버 지도 링크
1658802760,난바우동 연희점,41,양이 많아요,6,6.83,35,https://m.place.naver.com/restaurant/1658802760
11781843,도미노피자 연희점,184,친절해요,39,4.72,145,https://m.place.naver.com/restaurant/11781843
1553949264,원,53,친절해요,12,4.42,41,https://m.place.naver.com/restaurant/1553949264
18749384,풍성삼겹살,65,가성비가 좋아요,15,4.33,50,https://m.place.naver.com/restaurant/18749384
11555233,일화성,277,친절해요,65,4.26,212,https://m.place.naver.com/restaurant/11555233
12958754,지호한방삼계탕 연희점,278,친절해요,72,3.86,206,https://m.place.naver.com/restaurant/12958754
11727641,연희동칼국수 본점,2215,주차하기 편해요,589,3.76,1626,https://m.place.naver.com/restaurant/11727641
31375774,연희녹두삼계탕,320,양이 많아요,86,3.72,234,https://m.place.naver.com/restaurant/31375774
20917604,동보성,669,친절해요,181,3.7,488,https://m.place.naver.com/restaurant/20917604
18752158,연희김밥 본점,2249,재료가 신선해요,611,3.68,1638,https://m.place.naver.com/restaurant/18752158
19877438,이품,735,재료가 신선해요,201,3.66,534,https://m.place.naver.com/restaurant/19877438
11802402,교촌치킨 연희점,101,친절해요,28,3.61,73,https://m.place.naver.com/restaurant/11802402
1988636142,연남동주막,891,양이 많아요,259,3.44,632,https://m.place.naver.com/restaurant/1988636142
398689412,연남곱창타운,203,친절해요,59,3.44,144,https://m.place.naver.com/restaurant/398689412
272273213,스쿨푸드 딜리버리 연희점,203,특별한 메뉴가 있어요,60,3.38,143,https://m.place.naver.com/restaurant/272273213
353295035,잘들어,47,친절해요,14,3.36,33,https://m.place.naver.com/restaurant/353295035
18256689,연희동태찜,203,친절해요,61,3.33,142,https://m.place.naver.com/restaurant/18256689
1974895337,신화루,511,양이 많아요,154,3.32,357,https://m.place.naver.com/restaurant/1974895337
31306168,야키토리 지중,189,혼술하기 좋아요,57,3.32,132,https://m.place.naver.com/restaurant/31306168
13179873,한우명가,258,가성비가 좋아요,78,3.31,180,https://m.place.naver.com/restaurant/13179873
38239251,백년추어탕 연희본점,615,재료가 신선해요,188,3.27,427,https://m.place.naver.com/restaurant/38239251
1018882826,연희김밥 연희점,379,재료가 신선해요,116,3.27,263,https://m.place.naver.com/restaurant/1018882826
32875867,오향만두,452,특별한 메뉴가 있어요,141,3.21,311,https://m.place.naver.com/restaurant/32875867
31777479,맛이차이나,702,재료가 신선해요,222,3.16,480,https://m.place.naver.com/restaurant/31777479
38419431,선굼터 연희점,147,친절해요,47,3.13,100,https://m.place.naver.com/restaurant/38419431
35069411,홍대삭 연희동점,848,가성비가 좋아요,272,3.12,576,https://m.place.naver.com/restaurant/35069411
1678755994,당가원,429,양이 많아요,141,3.04,288,https://m.place.naver.com/restaurant/1678755994
13329483,월순철판동태찜,1056,양이 많아요,348,3.03,708,https://m.place.naver.com/restaurant/13329483
1882480351,서대문 양꼬치 BAR,144,특별한 메뉴가 있어요,48,3.0,96,https://m.place.naver.com/restaurant/1882480351
35288238,신안동장,265,가성비가 좋아요,89,2.98,176,https://m.place.naver.com/restaurant/35288238
1451301883,혼신꼬치 신촌점,1081,기본 안주가 좋아요,365,2.96,716,https://m.place.naver.com/restaurant/1451301883
34806924,천하의문타로,218,특별한 메뉴가 있어요,74,2.95,144,https://m.place.naver.com/restaurant/34806924
12985100,감나무집기사식당,2236,반찬이 잘 나와요,760,2.94,1476,https://m.place.naver.com/restaurant/12985100
